event_id_cnty,event_date,event_type,sub_event_type,country,admin1,admin2,latitude,longitude,fatalities
CHI9022,2022-06-13,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI9083,2022-07-06,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI9125,2022-07-09,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI9329,2022-08-24,Riots,Violent demonstration,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI9383,2022-09-04,Violence against civilians,Attack,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI9432,2022-09-22,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI9602,2022-11-11,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI9627,2022-11-10,Protests,Protest with intervention,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI9630,2022-11-11,Riots,Violent demonstration,Chile,Araucania,Malleco,-37.9655,-72.4361,0
CHI9637,2022-11-14,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-38.0168,-72.4261,0
CHI9672,2022-11-21,Protests,Peaceful protest,Chile,Atacama,Chanaral,-26.3401,-70.6169,0
CHI9785,2022-12-07,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI9809,2022-12-27,Strategic developments,Looting/property destruction,Chile,Araucania,Malleco,-37.9545,-72.4344,0
CHI10028,2022-10-10,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI10029,2022-11-11,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI8215,2022-01-13,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI8217,2022-01-14,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI8242,2022-01-28,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI8246,2022-01-31,Strategic developments,Looting/property destruction,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI8307,2022-02-18,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI8350,2022-03-08,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI8430,2022-03-25,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI8548,2022-04-01,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI8578,2022-04-04,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI8615,2022-04-12,Violence against civilians,Attack,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI8622,2022-04-13,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI8745,2022-04-30,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI8746,2022-05-01,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7397,-72.5984,0
CHI8895,2022-05-19,Protests,Peaceful protest,Chile,Araucania,Cautin,-38.7397,-72.5984,0
